SPE+   TCA+  2,SPE TCA+,KNN-TDS  TCA+,MZ_Score  TCA+,CFPS TCA+,Bellweather TCA+,SPE+   BDA 2,SPE BDA,KNN-TDS  BDA,MZ_Score  BDA,CFPS BDA,Bellweather BDA,SPE+   KMM  2,SPE KMM,KNN-TDS  KMM,MZ_Score  KMM,CFPS KMM,Bellweather KMM
0.739286,0.694048,0.647619,0.666667,0.739286,0.739286,0.694047619,0.70952381,0.66547619,0.730952381,0.655952381,0.655952381,0.696428571,0.755952381,0.614285714,0.702380952,0.59047619,0.59047619
0.548551,0.525181,0.557246,0.510145,0.547101,0.547101,0.524275362,0.504347826,0.49365942,0.521376812,0.490036232,0.490036232,0.608695652,0.507427536,0.512318841,0.500905797,0.49057971,0.49057971
0.727790,0.708752,0.656909,0.612189,0.678999,0.678999,0.722940613,0.717911877,0.659722222,0.728687739,0.681393678,0.681393678,0.668821839,0.562978927,0.624221743,0.628172893,0.593570402,0.593570402
0.770900,0.728555,0.587922,0.505435,0.742509,0.742509,0.685181299,0.730925802,0.730925802,0.738584858,0.6715209,0.6715209,0.721126406,0.535987074,0.535987074,0.684174081,0.618474064,0.618474064
0.737052,0.709564,0.670730,0.613532,0.739180,0.739180,0.718350084,0.718875502,0.707883347,0.720899141,0.675910897,0.675910897,0.660528123,0.594705246,0.660044322,0.683766153,0.626563248,0.626563248
0.672841,0.510854,0.686645,0.547782,0.555451,0.628244,0.731359132,0.55899009,0.731359132,0.32243983,0.571142048,0.729825389,0.55910807,0.594148183,0.654907975,0.49315715,0.581642284,0.54601227
0.525321,0.503354,0.525321,0.492867,0.511291,0.536990,0.543981481,0.503637566,0.543981481,0.479450113,0.554752457,0.544217687,0.501984127,0.52999811,0.538076342,0.512566138,0.541241497,0.517809902
0.608633,0.504833,0.593454,0.500000,0.593454,0.618309,0.617592373,0.539074136,0.635673291,0.605222217,0.635673291,0.645999146,0.57692928,0.575487359,0.590556372,0.567006593,0.590556372,0.525380638
0.555711,0.492364,0.571110,0.523269,0.555711,0.577330,0.567892741,0.530312988,0.566859032,0.537258003,0.56861839,0.573851967,0.551329445,0.552281004,0.528153153,0.532175032,0.570966483,0.505493716
0.707341,0.500000,0.601687,0.507937,0.623512,0.623512,0.665674603,0.597222222,0.680555556,0.669642857,0.650793651,0.650793651,0.586309524,0.534722222,0.631448413,0.66765873,0.507440476,0.507440476
0.574444,0.540278,0.599167,0.571528,0.574444,0.654722,0.679583333,0.66375,0.605694444,0.615,0.6975,0.648333333,0.594444444,0.535833333,0.639722222,0.6175,0.610972222,0.541944444
0.786859,0.562179,0.646154,0.708333,0.786859,0.744231,0.733012821,0.75224359,0.663782051,0.719230769,0.705128205,0.741666667,0.603525641,0.54775641,0.642948718,0.606089744,0.638782051,0.532051282
0.723443,0.609463,0.607082,0.552869,0.635043,0.635043,0.685775336,0.684676435,0.614224664,0.690720391,0.686202686,0.686202686,0.631746032,0.702136752,0.640720391,0.728266178,0.620512821,0.620512821
0.734113,0.627273,0.667965,0.578009,0.734113,0.681991,0.608138528,0.69047619,0.62978355,0.66952381,0.644242424,0.62978355,0.603030303,0.688225108,0.693160173,0.637575758,0.525714286,0.592727273
0.657766,0.663036,0.664204,0.645352,0.674607,0.674607,0.679632748,0.76783289,0.634459716,0.76783289,0.642826099,0.642826099,0.7372467,0.692290976,0.68275656,0.692290976,0.595072527,0.595072527
0.768417,0.690798,0.523413,0.658732,0.751078,0.758817,0.762408568,0.762408568,0.698145246,0.762408568,0.679336468,0.649000784,0.64762931,0.685606061,0.732725967,0.685606061,0.528409091,0.592019331
0.617558,0.597052,0.583633,0.619732,0.588736,0.617558,0.515687016,0.600926101,0.562464562,0.531279531,0.541674542,0.517766018,0.584294084,0.480627481,0.606123606,0.521735022,0.556416556,0.43044793
0.699185,0.587507,0.499854,0.497816,0.645894,0.699185,0.689283634,0.619976704,0.693942924,0.658998253,0.698893419,0.669044846,0.601193943,0.542661619,0.611531741,0.596534653,0.699912638,0.62914968
0.725225,0.634009,0.634009,0.514827,0.625563,0.725225,0.64771021,0.739864865,0.696321321,0.626501502,0.683183183,0.640765766,0.691629129,0.744181682,0.713213213,0.554992492,0.644894895,0.63963964
0.523148,0.542824,0.469246,0.429894,0.480655,0.523148,0.556878307,0.516203704,0.566964286,0.560019841,0.472718254,0.525628307,0.555886243,0.472883598,0.575562169,0.463789683,0.384920635,0.503306878
0.545330,0.567995,0.499313,0.516484,0.593407,0.719093,0.624313187,0.620192308,0.456043956,0.510302198,0.60989011,0.655906593,0.621565934,0.695054945,0.494505495,0.555631868,0.630494505,0.550137363
0.605077,0.534823,0.510282,0.500708,0.552387,0.605077,0.585018878,0.587007821,0.493325243,0.542442017,0.542745415,0.607234358,0.547498652,0.592502697,0.491875674,0.520361381,0.583468177,0.546352481
0.664090,0.565945,0.554277,0.527094,0.664090,0.664090,0.606055158,0.605066341,0.605066341,0.588741865,0.602495415,0.602495415,0.539822372,0.584265219,0.595196145,0.593218511,0.561324656,0.561324656
0.639406,0.596188,0.563165,0.512522,0.604056,0.639406,0.676750887,0.676750887,0.628878546,0.644060284,0.596963652,0.648049645,0.587101064,0.555740248,0.531028369,0.637743794,0.55972961,0.537898936
0.550834,0.544882,0.576544,0.556737,0.550834,0.570641,0.550639087,0.513806225,0.520099522,0.51375744,0.558737438,0.505610303,0.537320714,0.615767392,0.642891989,0.528295443,0.569518977,0.528880866
0.673608,0.521383,0.509595,0.509595,0.673608,0.648546,0.768086296,0.768086296,0.725821168,0.725821168,0.682305157,0.701421592,0.668427714,0.534465505,0.672739581,0.672739581,0.624293619,0.552345773
0.776033,0.529376,0.535167,0.525817,0.776033,0.759599,0.732167724,0.733040826,0.732167724,0.717159214,0.678632214,0.67814593,0.726243894,0.690402511,0.713722066,0.678234345,0.630788444,0.552761875
0.523614,0.473403,0.388392,0.486577,0.512180,0.426796,0.442331593,0.363037534,0.496395725,0.55704698,0.546979866,0.359806115,0.428411633,0.486950037,0.541759881,0.528958489,0.52411136,0.3599304
0.697695,0.686170,0.636525,0.500000,0.697695,0.636525,0.713430851,0.646498227,0.65802305,0.44481383,0.656693262,0.65802305,0.728280142,0.628324468,0.546099291,0.53125,0.602836879,0.546099291
0.645679,0.631790,0.661728,0.521914,0.645679,0.661728,0.570679012,0.606481481,0.622839506,0.654012346,0.590432099,0.622839506,0.639814815,0.615432099,0.507407407,0.666975309,0.59845679,0.507407407
0.702120,0.624761,0.514706,0.549384,0.702120,0.687893,0.644049248,0.653077975,0.58502052,0.704924761,0.660465116,0.67872777,0.69001368,0.689466484,0.526538988,0.704240766,0.620793434,0.530095759
0.768886,0.500000,0.722608,0.585879,0.768886,0.746662,0.661240168,0.674410097,0.661240168,0.659136638,0.665355771,0.655569782,0.598591549,0.540241449,0.679074447,0.717944028,0.652643132,0.545454545
0.554422,0.588435,0.510204,0.523810,0.435374,0.534014,0.510204082,0.336734694,0.534013605,0.472789116,0.503401361,0.506802721,0.503401361,0.43877551,0.489795918,0.418367347,0.465986395,0.544217687
0.588810,0.557268,0.649516,0.609314,0.588810,0.606003,0.647053829,0.670444897,0.644591611,0.651426388,0.657412124,0.626846663,0.582823909,0.571913737,0.503735779,0.633936152,0.635421973,0.500849041
0.692822,0.569939,0.546226,0.432493,0.692822,0.706688,0.688743883,0.713903307,0.698398339,0.450748925,0.696678036,0.688743883,0.669049385,0.643170696,0.584087202,0.482678333,0.609061249,0.545550942
0.536890,0.518116,0.495761,0.472514,0.560531,0.547912,0.56996621,0.585864515,0.53873795,0.414082687,0.606980471,0.56996621,0.544154368,0.547552052,0.522662617,0.467628826,0.583898579,0.481527032
0.633165,0.687125,0.550156,0.374896,0.633165,0.563337,0.602166682,0.588969479,0.596399643,0.399650436,0.673118975,0.602166682,0.585527734,0.520827559,0.480712372,0.489135791,0.598771136,0.417883212
0.729399,0.702673,0.613586,0.397348,0.729399,0.704900,0.69006884,0.639400688,0.733498684,0.585037457,0.741293784,0.69006884,0.720692448,0.664456368,0.750759263,0.655902004,0.822788014,0.509971654
0.528703,0.538437,0.565251,0.527825,0.534066,0.527825,0.499599221,0.490648498,0.499599221,0.498759495,0.504446735,0.498759495,0.553036375,0.488262911,0.556567045,0.493797473,0.440245811,0.493797473
0.636266,0.697860,0.603261,0.603770,0.636266,0.598336,0.735054348,0.561594203,0.599524457,0.519361413,0.56397192,0.499490489,0.667685688,0.548686594,0.628679801,0.512624547,0.679744112,0.498754529
0.694228,0.551487,0.633034,0.600512,0.526346,0.526346,0.6413536,0.589949536,0.581296316,0.566596451,0.566353979,0.566353979,0.518927971,0.502144362,0.54350857,0.621758831,0.506417931,0.506417931
