SPE+   KMM 3,SPE KMM,KNN-TDS  KMM,MZ_Score  KMM,CFPS KMM,Bellweather KMM
0.79945259,0.805214521,0.439081527,0.838910299,0.207071539,0.708820327
0.685393258,0.66580185,0.571628213,0.686910163,0.26585227,0.607264626
0.744663906,0.826093123,0.638954716,0.847450402,0.087063644,0.733371231
0.683312059,0.801702901,0.572726338,0.63326879,0.142823027,0.760821077
0.743286909,0.752047045,0.572551797,0.772736762,0.261907435,0.745952316
0.907846926,0.919389915,0.778980927,0.921366007,0.481297383,0.748835972
0.560514525,0.512190139,0.572418018,0.525547078,0.550931095,0.57977441
0.723464075,0.761786938,0.723464075,0.758112869,0.193489883,0.72283032
0.688609326,0.712327342,0.688064999,0.521915847,0.063531495,0.684527692
0.517625318,0.26109128,0.544210431,0.280480243,0.679951225,0.598629268
0.905273611,0.89374042,0.67997075,0.899943999,0.560038562,0.760576635
0.843434343,0.854343434,0.659853832,0.873242472,0.56256832,0.739767047
0.664396173,0.664396173,0.648934356,0.614412793,0.517832538,0.661131031
0.714492686,0.714492686,0.717386261,0.728354318,0.583006432,0.703228672
0.741962306,0.741962306,0.702402348,0.774713613,0.543129563,0.70090363
0.841947512,0.786969037,0.819122026,0.850120739,0.726262373,0.726262373
0.877857918,0.76591459,0.965887393,0.957519047,0.729972392,0.729972392
0.71352657,0.705114638,0.645311555,0.556472527,0.688640794,0.688556502
0.714169215,0.695827872,0.695827872,0.550169139,0.50859319,0.714169215
0.732094964,0.249026628,0.119556482,0.481764603,0.732094964,0.426327519
0.546514959,0.511833012,0.412598425,0.404562009,0.296969697,0.72183908
0.581765306,0.431664181,0.513724133,0.267635239,0.578904942,0.592085333
0.65714994,0.457202443,0.371560102,0.298302373,0.446419673,0.649285273
0.611152438,0.47239061,0.584799209,0.275829761,0.584799209,0.653405711
0.834400424,0.778539037,0.851240308,0.84891738,0.024842579,0.529611533
0.440692641,0.36917493,0.245623941,0.245623941,0.504741388,0.66058619
0.523250082,0.283294551,0.303052615,0.274719808,0.494176477,0.751262741
0.78822314,0.712520037,0.387411219,0.764832909,0.272436575,0.539136947
0.867823413,0.851065585,0.78796792,0.849869619,0.604925748,0.78796792
0.67980954,0.738399084,0.724735517,0.643687767,0.629378188,0.724735517
0.71193484,0.691799127,0.209404144,0.602539063,0.552832531,0.727470035
0.845840919,0.867492686,0.792977166,0.88938915,0.665770451,0.846685686
0.635198135,0.394894895,0.654736842,0.521259331,0.654736842,0.420371962
0.611698734,0.611698734,0.619269875,0.66313083,0.61293738,0.659471163
0.823328225,0.798098519,0.494765904,0.313340695,0.541940761,0.692207721
0.510652823,0.435454035,0.409852739,0.425800767,0.561308488,0.548259824
0.566425885,0.690157741,0.537168622,0.325679699,0.528622107,0.566425885
0.786029245,0.570360219,0.366127457,0.810933858,0.725273265,0.574805762
0.789435952,0.769517486,0.781387013,0.697649882,0.545546326,0.697649882
0.690774131,0.870052917,0.810567301,0.774464695,0.623758434,0.734213399
0.685938007,0.250521163,0.498018944,0.415204847,0.651540639,0.427327357
