SPE+   TCA+ 3,SPE TCA+,KNN-TDS  TCA+,MZ_Score  TCA+,CFPS TCA+,Bellweather TCA+,SPE+   BDA 3,SPE BDA,KNN-TDS  BDA,MZ_Score  BDA,CFPS BDA,Bellweather BDA,SPE+   KMM 3,SPE KMM,KNN-TDS  KMM,MZ_Score  KMM,CFPS KMM,Bellweather KMM
0.79945259,0.805214521,0.439081527,0.838910299,0.207071539,0.708820327,0.770274244,0.694954628,0.518735511,0.665679862,0.122077922,0.500691824,0.754927235,0.758947368,0.365450702,0.6205,0.331612903,0.308213006
0.685393258,0.66580185,0.571628213,0.686910163,0.26585227,0.607264626,0.523775762,0.594832955,0.455349388,0.545612627,0.149406402,0.449087124,0.577349741,0.684178583,0.351913815,0.467723535,0.280956203,0.304430983
0.744663906,0.826093123,0.638954716,0.847450402,0.087063644,0.733371231,0.643487131,0.749820475,0.572254598,0.685586797,0.54350948,0.559664633,0.830486802,0.830486802,0.415200124,0.591706047,0.173248742,0.343697744
0.683312059,0.801702901,0.572726338,0.63326879,0.142823027,0.760821077,0.715271173,0.745604861,0.745604861,0.705444019,0.531667471,0.583353841,0.720289354,0.630505396,0.641025641,0.621156833,0.24300783,0.427604132
0.743286909,0.752047045,0.572551797,0.772736762,0.261907435,0.745952316,0.731105855,0.715317889,0.639261678,0.678702533,0.162515011,0.581128881,0.736131914,0.672678224,0.7204455,0.623055026,0.268373303,0.437490985
0.907846926,0.919389915,0.778980927,0.921366007,0.481297383,0.748835972,0.816131439,0.793764471,0.736444876,0.552376969,0.764160204,0.734148565,0.860113224,0.935425047,0.45889898,0.590137002,0.746616761,0.165172595
0.560514525,0.512190139,0.572418018,0.525547078,0.550931095,0.57977441,0.589194011,0.565642575,0.573011278,0.47516315,0.56319301,0.574213916,0.551176965,0.513401338,0.488625264,0.50211321,0.564622868,0.308701681
0.723464075,0.761786938,0.723464075,0.758112869,0.193489883,0.72283032,0.735081534,0.705993868,0.682165163,0.712441743,0.155874966,0.692811662,0.755764352,0.755764352,0.473241961,0.782807577,0.295011693,0.197879703
0.688609326,0.712327342,0.688064999,0.521915847,0.063531495,0.684527692,0.650492709,0.651151812,0.638362469,0.596970397,0.483394264,0.650492709,0.718483134,0.715723639,0.424184692,0.163773146,0.205604312,0.166665104
0.517625318,0.26109128,0.544210431,0.280480243,0.679951225,0.598629268,0.650253909,0.583767979,0.69044499,0.675675676,0.71946365,0.650253909,0.280480243,0.280480243,0.608639409,0.678885782,0.655273686,0.453453453
0.905273611,0.89374042,0.67997075,0.899943999,0.560038562,0.760576635,0.753732498,0.693505981,0.732691928,0.609385584,0.598990106,0.664722674,0.448949896,0.901554681,0.545665113,0.501738044,0.590016274,0.329226669
0.843434343,0.854343434,0.659853832,0.873242472,0.56256832,0.739767047,0.807007435,0.730371901,0.761669113,0.652516905,0.625302121,0.687581748,0.830129085,0.830129085,0.561946336,0.493080392,0.621274556,0.131228727
0.664396173,0.664396173,0.648934356,0.614412793,0.517832538,0.661131031,0.619970407,0.712792441,0.559643563,0.692652473,0.622310779,0.621122995,0.610969832,0.524746014,0.65915343,0.780275167,0.210678811,0.492430087
0.714492686,0.714492686,0.717386261,0.728354318,0.583006432,0.703228672,0.647335737,0.720051959,0.552300059,0.66857152,0.547741615,0.552300059,0.625917577,0.644734498,0.706760231,0.740087081,0.514643732,0.37077913
0.741962306,0.741962306,0.702402348,0.774713613,0.543129563,0.70090363,0.70736081,0.76736949,0.555394542,0.76736949,0.595024239,0.553642093,0.615368071,0.628406657,0.690628932,0.638171788,0.153823781,0.422101568
