name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
org.apache.tools.ant.taskdefs.rmic.RmicAdapterFactory,3,1,0,10,18,3,1,9,1,1.1,106,0.0,0,0.0,0.444444444,0,0,32.66666667,1,0.6667,0
org.apache.tools.ant.taskdefs.optional.perforce.FStatP4OutputHandler,5,2,0,4,13,0,1,4,4,0.625,76,1.0,1,0.7,0.5,0,0,13.4,1,0.6,0
org.apache.tools.ant.taskdefs.optional.junit.OutErrSummaryJUnitResultFormatter,1,2,0,1,3,0,0,1,1,2.0,7,0.0,0,1.0,1.0,0,0,6.0,0,0.0,0
org.apache.tools.ant.taskdefs.optional.perforce.P4HandlerAdapter,8,1,9,13,20,12,9,4,8,0.8,101,0.2,1,0.0,0.40625,0,0,11.0,1,0.875,0
org.apache.tools.ant.taskdefs.WaitFor,9,3,0,5,26,16,0,5,7,0.75,185,1.0,0,0.8,0.38888888899999996,0,0,19.0,2,1.0,1
org.apache.tools.ant.taskdefs.optional.depend.constantpool.ConstantCPInfo,3,2,5,7,4,1,6,1,2,0.5,16,1.0,0,0.75,0.5555555560000001,0,0,4.0,1,0.6667,0
org.apache.tools.zip.AsiExtraField,20,1,0,4,40,130,0,4,18,0.736842105,345,1.0,1,0.0,0.284210526,0,0,15.9,3,1.15,1
org.apache.tools.ant.types.resources.selectors.Date,13,1,0,7,28,20,2,5,12,0.80952381,183,1.0,2,0.0,0.3,0,0,12.53846154,7,1.3846,0
org.apache.tools.ant.util.facade.FacadeTaskHelper,9,1,0,5,19,8,4,1,9,0.53125,119,1.0,0,0.0,0.518518519,0,0,11.77777778,3,1.4444,0
org.apache.tools.ant.types.selectors.DepthSelector,7,5,0,9,25,0,6,3,7,0.666666667,255,0.0,0,0.8636363640000001,0.342857143,2,5,34.85714286,9,3.1429,0
org.apache.tools.ant.taskdefs.optional.dotnet.JSharp,9,6,0,5,17,26,0,5,6,0.833333333,71,0.0,0,0.9493670890000001,0.333333333,1,4,6.555555556,3,1.1111,0
org.apache.tools.ant.taskdefs.LogStreamHandler,3,2,0,19,10,3,14,5,3,2.0,38,0.0,0,0.923076923,0.583333333,0,0,11.66666667,1,0.3333,0
org.apache.tools.ant.input.InputHandler,1,1,0,10,1,0,8,2,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
org.apache.tools.zip.JarMarker,9,1,0,3,12,20,1,2,8,0.8125,54,1.0,3,0.0,0.375,0,0,4.555555556,1,0.7778,0
org.apache.tools.ant.taskdefs.optional.clearcase.CCMkbl,19,4,0,7,40,129,0,7,16,0.936507937,252,0.5,0,0.727272727,0.38157894700000006,2,3,11.52631579,6,1.3158,0
org.apache.tools.ant.types.resources.Restrict,10,4,2,13,26,0,7,7,9,0.111111111,110,1.0,1,0.795454545,0.26,1,1,9.9,3,1.6,0
org.apache.tools.ant.DemuxInputStream,3,2,0,2,5,0,1,1,3,0.0,34,1.0,1,0.818181818,0.5,1,2,10.0,1,0.6667,0
org.apache.tools.ant.taskdefs.optional.ejb.IPlanetEjbc,20,1,0,7,79,136,5,5,10,0.897506925,835,1.0,1,0.0,0.19375,0,0,39.8,10,1.95,0
org.apache.tools.zip.ZipExtraField,6,1,0,8,6,15,7,1,6,2.0,6,0.0,0,0.0,0.444444444,0,0,0.0,1,1.0,0
org.apache.tools.ant.types.resources.comparators.FileSystem,3,4,0,5,11,1,1,4,1,0.5,41,1.0,1,0.9714285709999999,0.75,1,2,12.33333333,3,1.0,1
org.apache.tools.ant.taskdefs.condition.TypeFound,5,2,0,7,14,6,0,7,4,0.625,70,1.0,0,0.692307692,0.8,0,0,12.6,4,1.4,0
org.apache.tools.ant.taskdefs.optional.perforce.P4OutputHandler,1,1,0,1,1,0,0,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
org.apache.tools.ant.taskdefs.email.Message,11,2,0,7,26,0,5,2,11,0.58,181,1.0,0,0.529411765,0.409090909,0,0,15.0,1,0.7273,0
org.apache.tools.ant.taskdefs.optional.vss.MSVSSCP,3,4,0,5,15,3,0,5,2,2.0,51,0.0,0,0.9784946240000001,0.666666667,1,1,16.0,2,1.0,0
org.apache.tools.ant.taskdefs.condition.IsSet,3,2,0,5,7,1,1,4,3,0.5,29,1.0,0,0.818181818,0.666666667,0,0,8.333333332999999,1,0.6667,0
org.apache.tools.ant.taskdefs.optional.Rpm,16,3,0,15,65,76,0,15,13,0.92,483,1.0,0,0.725490196,0.311111111,0,0,28.25,9,1.5625,1
org.apache.tools.ant.types.selectors.BaseExtendSelector,4,4,8,12,5,0,8,4,3,0.333333333,18,1.0,1,0.921052632,0.4375,0,0,3.25,1,0.75,0
org.apache.tools.ant.taskdefs.optional.junit.XMLJUnitResultFormatter,15,1,0,11,65,75,0,11,11,0.6938775509999999,443,1.0,0,0.0,0.295238095,0,0,28.06666667,5,1.6,0
org.apache.tools.ant.taskdefs.optional.net.SetProxy,11,3,0,3,24,17,0,3,10,0.671428571,309,1.0,0,0.787234043,0.545454545,0,0,26.45454545,11,1.9091,0
org.apache.tools.ant.util.KeepAliveInputStream,2,3,0,1,3,1,1,0,2,2.0,7,0.0,0,0.947368421,0.75,1,1,2.5,1,0.5,0
org.apache.tools.ant.taskdefs.CallTarget,15,3,0,9,41,0,0,9,15,0.6785714290000001,204,1.0,1,0.725490196,0.225,1,2,12.33333333,2,1.5333,0
org.apache.tools.ant.taskdefs.DefBase,14,4,3,11,29,85,3,8,11,0.576923077,108,1.0,1,0.759259259,0.321428571,0,0,6.571428571,4,1.2857,0
org.apache.tools.zip.ZipOutputStream,27,3,0,8,101,157,5,3,15,0.824786325,1286,0.8888888890000001,1,0.294117647,0.18376068399999998,1,7,45.62962963,4,1.1111,1
org.apache.tools.ant.taskdefs.optional.perforce.P4Label,5,4,0,8,23,4,4,8,5,0.75,249,1.0,0,0.9272727270000001,0.8,2,2,48.2,1,0.8,0
org.apache.tools.ant.taskdefs.XSLTLiaison,3,1,0,2,3,3,2,0,3,1.5,4,0.0,0,0.0,0.666666667,0,0,0.0,1,1.0,0
org.apache.tools.ant.types.resources.BCFileSet,4,5,0,5,19,6,0,5,4,2.0,57,0.0,0,0.9784946240000001,0.625,2,4,13.25,2,1.0,0
org.apache.tools.ant.taskdefs.optional.extension.ExtraAttribute,6,1,0,2,11,3,1,1,4,0.6,53,1.0,0,0.0,0.666666667,0,0,7.5,1,0.8333,0
org.apache.tools.ant.taskdefs.optional.vss.MSVSS,55,3,8,20,106,1313,8,12,9,0.9565527070000001,1133,1.0,2,0.406593407,0.195454545,0,0,19.12727273,10,1.8545,0
org.apache.tools.ant.util.regexp.Jdk14RegexpRegexp,3,2,0,4,19,3,0,4,2,2.0,136,0.0,0,0.8,0.666666667,0,0,44.33333333,2,1.0,0
org.apache.tools.ant.taskdefs.condition.AntVersion,8,1,0,4,22,0,0,4,6,0.428571429,169,1.0,0,0.0,0.625,0,0,19.875,7,1.625,0
org.apache.tools.ant.util.LazyFileOutputStream,11,2,0,1,23,39,1,0,10,0.483333333,136,1.0,0,0.454545455,0.34848484799999996,1,1,10.81818182,1,0.5455,0
org.apache.tools.ant.util.LoaderUtils,10,1,0,10,29,43,7,3,8,0.833333333,91,0.5,1,0.0,0.2,0,0,7.9,3,1.2,0
org.apache.tools.ant.loader.AntClassLoader2,1,3,0,1,2,0,0,1,1,2.0,4,0.0,0,1.0,1.0,0,0,3.0,0,0.0,0
org.apache.tools.ant.taskdefs.rmic.ForkingSunRmic,3,2,1,12,22,3,2,10,2,1.5,72,0.0,0,0.8666666670000001,1.0,0,0,22.66666667,1,0.6667,0
org.apache.tools.ant.util.StringUtils,9,1,0,32,36,36,32,0,7,1.104166667,281,0.833333333,0,0.0,0.25,0,0,29.55555556,11,3.0,0
org.apache.tools.ant.types.Parameter,7,1,0,24,8,3,24,0,7,0.666666667,43,1.0,0,0.0,0.7142857140000001,0,0,4.714285714,1,0.8571,0
org.apache.tools.ant.util.regexp.Jdk14RegexpMatcher,9,1,1,4,19,30,1,3,7,0.5,130,1.0,0,0.0,0.666666667,0,0,13.33333333,4,1.2222,0
org.apache.tools.ant.DirectoryScanner,63,1,2,61,144,1603,51,10,31,0.874288425,2303,1.0,2,0.0,0.213709677,0,0,35.01587302,35,3.2381,3
org.apache.tools.ant.taskdefs.LogOutputStream,6,3,2,20,13,7,17,3,3,0.4,56,1.0,1,0.7333333329999999,0.433333333,1,4,8.0,1,0.6667,0
org.apache.tools.ant.taskdefs.optional.jsp.JspMangler,2,1,0,6,2,1,6,0,2,2.0,2,0.0,0,0.0,0.666666667,0,0,0.0,1,1.0,0
org.apache.tools.ant.taskdefs.optional.dotnet.Ildasm,22,3,0,5,47,159,0,5,19,0.904761905,365,1.0,1,0.649122807,0.36190476200000005,2,2,14.81818182,9,1.3636,0
org.apache.tools.ant.taskdefs.Apt,17,5,0,9,34,118,2,7,17,0.975,137,0.5,1,0.905882353,0.270588235,3,5,6.470588235,2,1.0588,1
org.apache.tools.ant.taskdefs.MacroInstance,12,3,0,15,99,18,1,14,8,0.826446281,804,1.0,1,0.770833333,0.27777777800000003,2,2,65.08333333,18,4.8333,2
org.apache.tools.ant.DemuxOutputStream,10,2,0,3,30,27,1,2,5,0.761904762,245,1.0,1,0.35714285700000004,0.283333333,1,1,22.8,2,1.0,0
org.apache.tools.ant.types.ZipScanner,2,3,0,9,20,1,2,7,1,2.0,128,0.0,0,0.987179487,0.625,1,3,63.0,9,4.5,1
org.apache.tools.ant.taskdefs.ExecTask,43,3,1,25,120,451,9,16,30,0.8933747409999999,920,1.0,5,0.480519481,0.146825397,0,0,19.86046512,15,1.5116,1
org.apache.tools.ant.types.DataType,22,2,28,37,44,183,31,6,7,0.523809524,271,1.0,1,0.3,0.198863636,1,2,11.22727273,3,1.3182,0
org.apache.tools.ant.types.ArchiveFileSet,34,5,2,15,67,295,4,11,29,0.8429752070000001,586,0.818181818,1,0.7459016390000001,0.17320261399999998,3,15,15.91176471,5,1.7941,3
org.apache.tools.ant.taskdefs.rmic.XNewRmic,2,3,0,3,4,1,1,2,1,2.0,19,0.0,0,0.9375,1.0,2,2,8.0,1,0.5,0
org.apache.tools.ant.taskdefs.optional.junit.Enumerations,3,1,0,3,6,3,1,2,2,2.0,16,0.0,0,0.0,0.333333333,0,0,4.333333333,1,0.6667,0
org.apache.tools.ant.taskdefs.Nice,4,3,0,3,16,2,0,3,4,0.666666667,76,1.0,0,0.925,0.5,1,1,17.5,3,1.25,0
org.apache.tools.ant.taskdefs.optional.Script,11,3,0,8,26,0,0,8,11,0.0,76,1.0,1,0.787234043,0.287878788,2,2,5.818181817999999,1,0.9091,0
org.apache.tools.ant.taskdefs.optional.junit.JUnitVersionHelper,4,1,0,7,20,4,4,3,2,0.8888888890000001,187,0.333333333,0,0.0,0.5,0,0,45.0,9,3.5,1
org.apache.tools.ant.AntClassLoader,56,2,2,51,169,1200,37,16,35,0.8488636359999999,1842,0.875,2,0.409638554,0.15584415599999998,1,5,31.60714286,14,2.1964,6
org.apache.tools.ant.types.selectors.DifferentSelector,5,5,0,8,16,0,5,3,3,0.583333333,105,1.0,1,0.931818182,0.583333333,1,1,19.4,9,2.2,0
org.apache.tools.ant.taskdefs.optional.junit.DOMUtil,5,1,0,3,41,10,1,2,4,2.0,241,0.0,0,0.0,0.36,0,0,47.2,7,4.2,0
org.apache.tools.ant.types.selectors.modifiedselector.DigestAlgorithm,7,1,0,3,26,0,1,2,7,0.5,218,1.0,0,0.0,0.47619047600000003,0,0,29.57142857,5,2.2857,0
org.apache.tools.ant.taskdefs.optional.windows.Attrib,17,5,0,6,35,130,0,6,12,0.9910714290000001,207,1.0,0,0.8699186990000001,0.352941176,2,3,10.76470588,3,1.1765,1
org.apache.tools.ant.taskdefs.cvslib.ChangeLogWriter,4,1,0,6,33,0,1,5,2,0.333333333,157,1.0,1,0.0,0.533333333,0,0,37.5,2,0.75,0
org.apache.tools.ant.taskdefs.optional.extension.JarLibDisplayTask,5,3,0,6,26,0,0,6,4,0.375,141,1.0,0,0.9024390240000001,0.46666666700000003,0,0,26.8,1,0.8,0
org.apache.tools.ant.taskdefs.optional.ssh.SSHExec,9,4,0,11,54,10,1,11,7,0.8035714290000001,345,1.0,0,0.870967742,0.314814815,1,1,36.55555556,1,0.8889,4
org.apache.tools.ant.taskdefs.TaskOutputStream,3,2,0,1,10,0,0,1,1,0.0,67,1.0,1,0.7142857140000001,0.666666667,1,1,20.33333333,1,0.6667,0
org.apache.tools.ant.types.resources.selectors.Size,6,1,0,3,10,0,0,3,6,0.4,52,1.0,1,0.0,0.375,0,0,7.333333333,2,1.0,0
