name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
org.apache.poi.hssf.record.LineFormatRecord,25,2,0,6,44,128,1,5,23,0.9488636359999999,429,0.363636364,3,0.333333333,0.35200000000000004,1,6,15.28,2,0.92,1
org.apache.poi.hssf.record.formula.AttrPtg,20,2,0,4,36,138,1,4,20,0.8468899520000001,336,0.9090909090000001,7,0.28,0.225,1,2,15.25,1,0.9,6
org.apache.poi.hssf.record.RKRecord,23,2,0,8,48,235,2,6,21,0.924242424,379,0.444444444,0,0.35483871,0.289855072,1,5,15.08695652,6,1.4783,1
org.apache.poi.hssf.record.UnicodeString,22,2,0,5,41,159,2,3,18,0.7023809520000001,325,0.75,0,0.36666666700000006,0.26623376600000004,2,6,13.59090909,6,1.4545,3
org.apache.poi.hpsf.MarkUnsupportedException,4,4,0,3,8,6,2,1,4,2.0,20,0.0,0,1.0,0.666666667,0,0,4.0,0,0.0,1
org.apache.poi.poifs.storage.HeaderBlockReader,7,1,0,6,20,9,2,4,7,0.833333333,173,1.0,5,0.0,0.571428571,0,0,22.85714286,2,1.0,1
org.apache.poi.hssf.record.formula.ValueReferencePtg,14,2,0,4,24,37,2,3,14,0.833333333,151,0.833333333,2,0.36842105299999994,0.375,1,2,9.357142857000001,1,0.8571,0
org.apache.poi.hssf.record.InterfaceHdrRecord,11,2,0,5,21,49,2,3,9,0.933333333,107,0.333333333,0,0.578947368,0.522727273,1,6,8.454545455,2,0.8182,0
org.apache.poi.hssf.record.UnitsRecord,11,2,0,5,22,43,1,4,9,0.85,117,0.5,0,0.578947368,0.522727273,1,6,9.454545455,2,0.8182,1
org.apache.poi.hssf.dev.HSSF,4,1,0,10,49,0,0,10,4,0.0,492,1.0,2,0.0,0.5625,0,0,121.0,8,2.0,2
org.apache.poi.hpsf.DocumentSummaryInformation,16,3,0,4,27,120,1,3,16,2.0,105,0.0,0,0.625,0.53125,0,0,5.5625,1,0.9375,2
org.apache.poi.hssf.record.MergeCellsRecord,14,2,0,6,34,43,3,4,12,0.7179487179999999,346,0.666666667,0,0.5,0.517857143,1,6,23.5,2,1.1429,1
org.apache.poi.hssf.record.WindowProtectRecord,11,2,0,5,21,43,2,3,9,0.85,117,0.5,0,0.578947368,0.418181818,1,6,9.454545455,2,1.0,0
org.apache.poi.hssf.record.formula.UnknownPtg,5,2,0,1,6,10,0,1,5,1.0,18,1.0,0,0.7,0.6,1,2,2.4,1,0.6,3
org.apache.poi.hssf.record.FnGroupCountRecord,11,2,0,5,21,49,2,3,9,0.933333333,106,0.333333333,0,0.578947368,0.522727273,1,6,8.363636364,2,0.8182,0
org.apache.poi.hssf.dev.BiffViewer,9,1,0,93,123,32,0,93,5,0.75,1079,0.5,0,0.0,0.253968254,0,0,118.66666670000001,89,11.1111,4
org.apache.poi.poifs.storage.SmallDocumentBlock,12,1,0,8,25,24,6,2,8,0.8636363640000001,319,1.0,0,0.0,0.214285714,0,0,25.25,3,1.25,0
org.apache.poi.poifs.storage.RawDataBlockList,5,2,0,8,16,10,4,4,5,2.0,50,0.0,0,0.5555555560000001,0.5,0,0,9.0,1,0.8,0
org.apache.poi.hssf.record.BarRecord,23,2,0,6,39,39,1,5,21,0.772727273,382,0.875,4,0.35483871,0.356521739,1,6,15.26086957,2,0.9129999999999999,1
org.apache.poi.hssf.eventmodel.HSSFListener,1,1,0,6,1,0,5,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
org.apache.poi.poifs.storage.BlockAllocationTableWriter,8,1,0,7,17,0,2,5,7,0.571428571,134,1.0,2,0.0,0.45833333299999995,0,0,15.375,3,1.375,0
org.apache.poi.hssf.record.formula.MemErrPtg,9,2,0,2,12,24,1,2,9,0.9375,48,0.75,0,0.5,0.41666666700000005,1,2,3.888888889,1,0.7778,3
org.apache.poi.poifs.dev.POIFSViewer,3,1,0,2,21,3,0,2,2,2.0,112,0.0,0,0.0,0.333333333,0,0,36.33333333,4,2.3333,0
org.apache.poi.hssf.record.CalcModeRecord,11,2,0,5,21,49,2,3,9,1.0,109,0.2,0,0.578947368,0.522727273,1,6,8.454545455,2,0.8182,1
org.apache.poi.hssf.record.AreaRecord,17,2,0,6,33,4,1,5,15,0.7,252,0.8,3,0.44,0.376470588,1,6,13.52941176,2,0.8824,1
org.apache.poi.poifs.dev.POIFSViewable,4,1,0,6,4,6,6,0,4,2.0,4,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
org.apache.poi.hpsf.Property,6,1,0,4,15,9,2,2,4,0.8,218,1.0,0,0.0,0.666666667,0,0,34.83333333,3,1.1667,4
org.apache.poi.poifs.filesystem.POIFSWriterListener,1,1,0,7,1,0,6,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
org.apache.poi.hssf.record.LabelRecord,21,2,0,7,30,198,2,5,19,0.921428571,234,0.857142857,0,0.379310345,0.36190476200000005,1,4,9.80952381,6,1.5714,3
org.apache.poi.poifs.filesystem.DocumentDescriptor,4,1,0,2,18,0,1,1,4,0.222222222,129,1.0,1,0.0,0.4375,1,1,30.5,6,2.5,0
org.apache.poi.hssf.dev.EFBiffViewer,4,1,0,6,16,4,1,6,4,0.333333333,82,0.0,0,0.0,0.41666666700000005,0,0,19.25,3,1.25,0
org.apache.poi.hssf.record.FontIndexRecord,11,2,0,5,22,43,1,4,9,0.85,117,0.5,0,0.578947368,0.522727273,1,6,9.454545455,2,0.8182,1
org.apache.poi.hssf.record.PrecisionRecord,11,2,0,5,21,43,2,3,9,0.85,117,0.0,0,0.578947368,0.418181818,1,6,9.454545455,2,1.0,0
org.apache.poi.hssf.record.CodepageRecord,11,2,0,5,21,49,2,3,9,0.933333333,107,0.333333333,0,0.578947368,0.522727273,1,6,8.454545455,2,0.8182,0
org.apache.poi.hssf.usermodel.HSSFErrorConstants,0,1,0,0,0,0,0,0,0,2.0,7,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0
org.apache.poi.poifs.filesystem.DirectoryEntry,7,1,0,6,7,21,4,3,7,2.0,7,0.0,0,0.0,0.4,0,0,0.0,1,1.0,1
org.apache.poi.hssf.record.ValueRangeRecord,39,2,0,6,58,115,1,5,37,0.858552632,697,0.9375,9,0.23404255300000001,0.27777777800000003,1,6,16.46153846,2,0.9487,0
org.apache.poi.hssf.usermodel.HSSFCellStyle,42,1,0,6,88,0,3,3,41,1.0,329,0.066666667,1,0.0,0.304761905,0,0,5.761904762,1,0.9762,2
org.apache.poi.hssf.record.UnknownRecord,9,2,0,7,17,2,4,3,6,0.6875,145,0.75,0,0.611111111,0.5277777779999999,1,6,14.66666667,3,1.1111,3
org.apache.poi.hssf.record.formula.DividePtg,8,2,0,4,13,28,3,2,8,1.142857143,56,0.0,0,0.538461538,0.40625,1,2,5.75,1,0.75,4
org.apache.poi.hssf.record.formula.ExpPtg,5,2,0,1,6,10,1,1,5,1.25,18,0.5,0,0.7,0.6,1,2,2.2,1,0.6,5
org.apache.poi.hpsf.HPSFException,5,3,3,3,7,4,3,0,5,0.5,29,1.0,0,0.944444444,0.6,0,0,4.6,1,0.2,1
org.apache.poi.hssf.record.BoundSheetRecord,19,2,0,7,34,141,3,4,17,0.814814815,253,0.833333333,0,0.40740740700000005,0.307017544,1,6,12.0,2,0.8947,3
org.apache.poi.poifs.filesystem.POIFSDocumentPath,9,1,0,10,20,0,10,0,9,0.25,294,1.0,0,0.0,0.311111111,1,1,31.44444444,7,1.8889,0
org.apache.poi.poifs.filesystem.POIFSWriterEvent,5,1,0,5,6,2,3,2,4,0.75,36,1.0,2,0.0,0.36,0,0,5.4,1,0.8,0
org.apache.poi.poifs.property.Property,30,1,3,18,60,257,13,5,16,0.95841785,671,1.0,14,0.0,0.2,0,0,20.23333333,3,1.1333,1
org.apache.poi.util.POILogFactory,4,1,0,7,13,4,4,3,2,0.333333333,46,1.0,0,0.0,0.333333333,0,0,10.0,2,0.75,0
org.apache.poi.hssf.record.ContinueRecord,13,2,0,4,27,72,1,3,10,0.916666667,221,0.5,0,0.523809524,0.519230769,1,5,15.84615385,4,1.0769,2
org.apache.poi.hssf.record.ExtendedFormatRecord,96,2,0,9,117,3214,5,4,93,0.9811945590000001,1478,0.483146067,34,0.106796117,0.313684211,1,6,13.46875,3,0.9896,1
org.apache.poi.hssf.record.CalcCountRecord,11,2,0,5,21,49,2,3,9,0.85,106,0.5,0,0.578947368,0.522727273,1,6,8.454545455,2,0.8182,1
org.apache.poi.poifs.storage.RawDataBlock,3,1,0,6,10,0,5,1,3,0.25,78,1.0,0,0.0,0.666666667,0,0,24.33333333,1,0.6667,1
org.apache.poi.hssf.record.SeriesChartGroupIndexRecord,11,2,0,4,22,43,0,4,9,0.85,117,0.5,0,0.578947368,0.522727273,1,6,9.454545455,2,0.8182,1
org.apache.poi.hssf.record.IterationRecord,11,2,0,5,21,43,2,3,9,0.85,116,0.5,0,0.578947368,0.418181818,1,6,9.363636364,2,1.0,1
org.apache.poi.hssf.record.SaveRecalcRecord,11,2,0,5,21,43,2,3,9,0.85,116,0.5,0,0.578947368,0.418181818,1,6,9.363636364,2,1.0,1
org.apache.poi.poifs.storage.PropertyBlock,4,2,0,5,11,4,1,4,2,0.833333333,108,1.0,1,0.5,0.4,1,1,25.5,3,1.25,0
org.apache.poi.hssf.record.RecordFactory,7,1,0,14,56,9,4,10,5,0.7222222220000001,663,1.0,0,0.0,0.166666667,0,0,93.28571429,8,2.0,3
org.apache.poi.hssf.model.Sheet,76,1,0,48,274,1888,4,44,45,0.880784314,2248,0.882352941,8,0.0,0.108571429,0,0,28.35526316,17,1.8421,20
org.apache.poi.poifs.filesystem.DocumentEntry,1,1,0,7,1,0,6,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
org.apache.poi.hpsf.littleendian.Byte,2,2,0,2,3,1,1,1,2,2.0,10,0.0,0,0.75,0.666666667,1,1,3.5,1,0.5,0
org.apache.poi.hssf.usermodel.HSSFDataFormat,6,1,0,1,12,0,1,0,5,0.2,266,1.0,0,0.0,0.166666667,0,0,43.16666667,5,2.0,4
org.apache.poi.hssf.eventmodel.HSSFEventFactory,3,1,0,9,12,3,2,7,3,2.0,121,0.0,0,0.0,0.583333333,0,0,39.33333333,1,0.6667,2
org.apache.poi.hssf.record.WindowTwoRecord,47,2,0,7,63,193,3,4,45,0.8793478259999999,856,0.95,12,0.2,0.327659574,1,6,16.78723404,3,1.0,1
org.apache.poi.hssf.record.HeaderRecord,13,2,0,6,25,66,2,4,11,0.7777777779999999,175,0.666666667,0,0.523809524,0.333333333,1,6,12.23076923,3,1.1538,2
org.apache.poi.hssf.usermodel.HSSFWorkbook,27,1,0,18,82,0,2,16,24,0.7230769229999999,553,0.8,2,0.0,0.18376068399999998,0,0,19.2962963,5,1.4815,12
org.apache.poi.hssf.record.WindowOneRecord,38,2,0,6,52,479,2,4,35,0.8986486490000001,536,0.9375,6,0.24444444399999998,0.335135135,1,6,12.68421053,2,0.9211,0
org.apache.poi.hssf.record.ColumnInfoRecord,26,2,0,6,41,217,2,4,23,0.8640000000000001,341,0.9,3,0.333333333,0.35200000000000004,1,6,11.73076923,2,0.8846,1
org.apache.poi.poifs.filesystem.EntryNode,10,1,2,6,14,19,3,4,6,0.611111111,71,1.0,2,0.0,0.325,0,0,5.9,3,1.3,0
org.apache.poi.hssf.record.formula.OperationPtg,3,1,0,11,3,3,10,1,3,1.5,6,0.0,0,0.0,0.666666667,0,0,0.0,1,1.0,2
org.apache.poi.util.LongField,11,1,0,5,21,9,2,3,11,0.25,92,1.0,0,0.0,0.454545455,0,0,7.181818182000001,1,0.6364,0
org.apache.poi.hssf.record.FontBasisRecord,19,2,0,5,30,119,1,4,17,0.8240740740000001,281,0.833333333,0,0.40740740700000005,0.460526316,1,6,13.47368421,2,0.8947,1
org.apache.poi.util.FixedField,4,1,0,5,4,6,4,1,4,2.0,4,0.0,0,0.0,0.583333333,0,0,0.0,1,1.0,0
org.apache.poi.hssf.record.BOFRecord,21,2,0,7,34,174,4,3,19,0.961764706,285,0.352941176,0,0.379310345,0.452380952,1,6,11.76190476,2,0.9048,1
org.apache.poi.hssf.record.ProtectRecord,11,2,0,5,21,49,2,3,9,0.85,112,0.5,0,0.578947368,0.418181818,1,6,9.0,2,0.9091,1
org.apache.poi.util.ByteField,11,1,0,4,15,21,1,3,11,0.533333333,90,1.0,0,0.0,0.454545455,0,0,6.909090909,1,0.6364,0
org.apache.poi.hssf.record.ProtectionRev4Record,11,2,0,5,21,49,2,3,9,0.85,112,0.5,0,0.578947368,0.418181818,1,6,9.0,2,0.9091,0
org.apache.poi.hpsf.wellknown.PropertyIDMap,6,3,0,1,15,15,1,0,6,1.177142857,275,0.057142857000000005,2,0.9152542370000001,0.3,1,2,39.0,2,1.1667,3
org.apache.poi.poifs.storage.BigBlock,4,1,4,5,6,6,4,1,1,2.0,15,0.0,0,0.0,0.666666667,0,0,2.75,1,0.75,0
org.apache.poi.hssf.record.TabIdRecord,11,2,0,5,25,43,2,3,9,0.8,182,0.0,0,0.578947368,0.418181818,1,6,15.36363636,2,1.0909,0
org.apache.poi.hpsf.littleendian.Word,2,2,0,4,3,1,3,1,2,2.0,10,0.0,0,0.75,0.666666667,1,1,3.5,1,0.5,0
org.apache.poi.poifs.storage.BlockWritable,1,1,0,9,1,0,9,0,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
org.apache.poi.hssf.record.EOFRecord,9,2,0,6,17,36,3,3,7,1.125,72,0.0,0,0.647058824,0.5555555560000001,1,6,6.8888888889999995,2,0.7778,1
org.apache.poi.poifs.property.PropertyFactory,2,1,0,5,10,1,1,4,0,2.0,82,0.0,0,0.0,0.5,0,0,40.0,1,0.5,0
org.apache.poi.hssf.record.formula.ValueVariableFunctionPtg,9,2,0,4,13,30,1,4,9,0.90625,106,0.375,4,0.5,0.38888888899999996,1,2,9.888888889,1,0.7778,1
org.apache.poi.hssf.record.LegendRecord,35,2,0,5,55,217,0,5,33,0.9232736570000001,642,0.565217391,6,0.255813953,0.28095238100000003,1,6,16.68571429,2,0.9429,2
org.apache.poi.util.IntegerField,11,1,0,7,17,9,4,3,11,0.25,85,1.0,0,0.0,0.522727273,0,0,6.545454545,1,0.6364,0
org.apache.poi.hssf.record.SeriesListRecord,11,2,0,4,22,35,1,3,9,0.8,119,0.5,0,0.578947368,0.418181818,1,6,9.636363636,2,0.8182,1
org.apache.poi.hssf.record.formula.Ptg,8,1,15,21,29,28,21,13,8,2.0,166,0.0,0,0.0,0.45833333299999995,0,0,19.75,15,2.625,11
